"Rojo,Verde,Azul,Clear,Matiz,Saturacion,Valor,Clase"
"179,86,84,218,1.26,0.5307,0.8211,Rojo"
"636,197,171,820,3.35,0.7311,0.7756,Rojo"
"259,127,121,320,2.61,0.5328,0.8094,Rojo"
"990,577,478,1845,11.60,0.5172,0.5366,Rojo"
"551,335,289,978,10.53,0.4755,0.5634,Rojo"
"179,189,120,402,68.70,0.3651,0.4701,Verde"
"193,217,129,441,76.36,0.4055,0.4921,Verde"
"132,134,95,248,63.08,0.2910,0.5403,Verde"
"232,330,200,679,105.23,0.3939,0.4860,Verde"
"108,116,89,210,77.78,0.2328,0.5524,Verde"
"294,381,258,778,102.44,0.3228,0.4897,Verde"
"183,191,148,366,71.16,0.2251,0.5219,Verde"
"852,1081,570,2362,86.89,0.4727,0.4577,Verde"
"342,374,237,761,74.01,0.3663,0.4915,Verde"
"642,760,376,1649,78.44,0.5053,0.4609,Verde"
"178,247,145,468,100.59,0.4130,0.5278,Verde"
"376,456,436,1127,165.00,0.1754,0.4046,Azul"
"182,181,176,390,50.00,0.0330,0.4667,Azul"
"164,158,190,379,251.25,0.1684,0.5013,Azul"
"264,277,350,752,230.93,0.2457,0.4654,Azul"
"1668,2007,1483,5026,98.82,0.2611,0.3993,Azul"
"318,317,268,686,58.80,0.1572,0.4636,Azul"
"252,277,241,674,101.67,0.1300,0.4110,Azul"
"128,113,108,212,15.00,0.1562,0.6038,Azul"
"136,182,324,535,225.32,0.5802,0.6056,Azul"
"102,105,156,251,236.67,0.3462,0.6215,Azul"
"321,503,235,1022,100.75,0.5328,0.4922,Verde"
"131,188,111,384,104.42,0.4096,0.4896,Verde"
"141,245,195,543,151.15,0.4245,0.4512,Verde"
"66,101,86,217,154.29,0.3465,0.4654,Verde"
"80,129,78,273,117.65,0.3953,0.4725,Verde"
"64,107,70,230,128.37,0.4019,0.4652,Verde"
"268,454,309,995,133.23,0.4097,0.4563,Verde"
"99,159,121,340,142.00,0.3774,0.4676,Verde"
"91,131,81,270,108.00,0.3817,0.4852,Verde"
"62,84,58,169,110.77,0.3095,0.4970,Verde"
"292,398,193,867,91.02,0.5151,0.4591,Verde"
"252,344,168,765,91.36,0.5116,0.4497,Verde"
"390,550,287,1194,96.50,0.4782,0.4606,Verde"
"317,434,231,946,94.58,0.4677,0.4588,Verde"
"138,201,132,419,114.78,0.3433,0.4797,Verde"
"113,153,105,319,110.00,0.3137,0.4796,Verde"
"159,281,146,562,114.22,0.4804,0.5000,Verde"
"102,165,92,334,111.78,0.4424,0.4940,Verde"
"769,203,179,1037,2.44,0.7672,0.7416,Rojo"
"728,186,166,974,2.14,0.7720,0.7474,Rojo"
"1107,314,620,1961,336.85,0.7164,0.5645,Rojo"
"357,98,176,572,341.93,0.7255,0.6241,Rojo"
"323,95,81,439,3.47,0.7492,0.7358,Rojo"
"137,49,44,196,3.23,0.6788,0.6990,Rojo"
"779,216,188,1052,2.84,0.7587,0.7405,Rojo"
"272,86,78,382,2.47,0.7132,0.7120,Rojo"
"689,242,233,1056,1.18,0.6618,0.6525,Rojo"
"361,132,130,556,0.52,0.6399,0.6493,Rojo"
"723,221,201,1025,2.30,0.7220,0.7054,Rojo"
"482,150,138,686,2.09,0.7137,0.7026,Rojo"
"744,208,212,1044,359.55,0.7204,0.7126,Rojo"
"320,92,96,447,358.95,0.7125,0.7159,Rojo"
"416,96,88,527,1.46,0.7885,0.7894,Rojo"
"218,56,52,279,1.45,0.7615,0.7814,Rojo"
"412,137,107,587,5.90,0.7403,0.7019,Rojo"
"145,54,46,211,4.85,0.6828,0.6872,Rojo"
"481,947,1096,2477,194.54,0.5611,0.4425,Azul"
